yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality
2022-03-24,04:40:38,54.02,-3.339,12,0.4,8,0.3,NA,NA,IRISH SEA
2022-03-24,04:59:11,55.437,-5.234,7.6,1.5,12,0.4,NA,NA,ARRAN NORTH AYRSHIRE
2022-03-25,04:56:38,58.39,1.716,10,3.4,44,0.5,NA,NA,CENTRAL NORTH SEA
2022-03-25,16:04:42,61.502,2.339,10,3.1,21,0.5,NA,NA,NORWEGIAN SEA
2022-03-30,00:08:27,56.61,-5.623,6.5,0.6,4,0.1,NA,NA,MORVERN HIGHLAND
2022-03-30,00:37:17,53.377,0.148,23.1,1.1,7,0.3,NA,NA,MABLETHORPE LINCS
2022-03-31,20:55:59,51.939,-2.982,13.9,0.5,4,0.1,NA,NA,CLODOCK HEREFORDSHIRE
2022-04-01,08:55:56,57.774,-5.577,7.5,1,6,0.7,NA,NA,POOLEWE HIGHLAND
2022-04-01,09:31:55,57.771,-5.577,7.6,1.1,6,0.6,NA,NA,POOLEWE HIGHLAND
2022-04-03,01:04:32,52.369,0.603,2.6,0.9,4,0.3,NA,NA,ELVEDEN SUFFOLK
2022-04-03,09:30:25,51.802,1.203,5,1.2,4,0.1,NA,NA,HOLLAND-ON-SEA ESSEX
2022-04-04,06:43:36,53.152,-3.862,7.6,1,4,0.1,NA,NA,TREFRIW CONWY
2022-04-06,13:20:22,56.435,-5.938,4.6,1.1,5,0.4,NA,NA,MULL ARGYLL & BUTE
2022-04-09,01:58:18,54.624,-3.864,7.7,0.1,7,0.2,NA,NA,IRISH SEA
2022-04-12,12:08:44,51.175,-4.734,16.1,0.9,5,0.1,NA,NA,BRISTOL CHANNEL
2022-04-13,01:33:44,52.699,-3.099,4.8,0.8,7,0.3,NA,NA,TREWERN POWYS
2022-04-14,10:49:22,57.766,-5.578,6.5,1.4,6,0.5,NA,NA,POOLEWE HIGHLAND
2022-04-14,11:28:20,57.773,-5.652,7.6,0.9,6,0.4,NA,NA,POOLEWE HIGHLAND
2022-04-15,03:13:26,54.792,-1.86,9.4,1.1,9,0.2,NA,NA,SATLEY COUNTY DURHAM
2022-04-17,18:48:07,55.603,-9.594,7.9,2.4,15,0.3,NA,NA,NORTH ATLANTIC OCEAN
2022-04-19,03:03:11,57.768,-5.569,7.6,1.7,9,0.5,NA,NA,POOLEWE HIGHLAND
2022-04-19,03:06:10,57.791,-5.557,6.7,0.9,7,0.4,NA,NA,POOLEWE HIGHLAND
2022-04-19,03:11:48,57.811,-5.683,6.6,1,7,0.2,NA,NA,POOLEWE HIGHLAND
2022-04-19,11:26:22,55.789,-5.508,8.3,1.5,7,0.3,NA,NA,CLACHAN ARGYLL & BUTE
2022-04-20,11:20:32,55.861,-5.449,7.6,1.2,6,0.4,NA,NA,TARBERT ARGYLL & BUTE
2022-04-20,23:02:35,54.338,-4.15,10.2,0.3,7,0.2,NA,NA,IRISH SEA
2022-04-21,00:53:18,53.58,2.442,10,2.6,19,0.6,NA,NA,SOUTHERN NORTH SEA
2022-04-21,04:14:45,56.975,-5.274,7.3,0.5,6,0.2,NA,NA,LOCH ARKAIG HIGHLAND
2022-04-23,18:39:04,55.742,-5.619,10.5,0.8,8,0.3,NA,NA,CLACHAN ARGYLL & BUTE
2022-04-24,09:48:07,56.504,-4.222,2.6,1.9,13,0.4,3,NA,KILTYRIE PERTH/KINROSS
2022-04-25,17:04:33,55.433,-3.424,8.9,0.6,8,0.2,NA,NA,TWEEDSMUIR BORDERS
2022-05-04,18:07:01,52.626,-1.03,11.3,1,6,0.1,NA,NA,BUSHBY LEICESTERSHIRE
2022-05-06,07:31:05,57.12,-5.643,2.6,0.8,5,0.6,NA,NA,LOCH HOURN HIGHLAND
2022-05-06,10:31:32,52.478,-0.59,6.3,2.3,14,0.6,3,NA,CORBY NORTHAMPTONSHIRE
2022-05-06,12:02:15,56.365,-5.475,6.4,1.1,6,0.2,NA,NA,OBAN ARGYLL & BUTE
2022-05-07,04:52:11,54.35,-2.274,2.6,0.8,14,0.4,NA,NA,COTTERDALE N YORKSHIRE
2022-05-08,05:01:37,57.128,-5.597,3.1,1,7,0.4,NA,NA,LOCH HOURN HIGHLAND
2022-05-08,05:15:12,57.151,-5.681,3,0.9,6,0.3,NA,NA,LOCH HOURN HIGHLAND
2022-05-08,05:35:38,57.136,-5.592,2.6,0.6,5,0.5,NA,NA,LOCH HOURN HIGHLAND
2022-05-08,12:12:34,57.132,-5.616,3.7,1.6,10,0.3,NA,NA,LOCH HOURN HIGHLAND
2022-05-08,14:18:09,57.136,-5.585,4.4,0.7,6,0.4,NA,NA,LOCH HOURN HIGHLAND
2022-05-09,20:57:47,53.024,-2.278,17.6,1,8,0.4,NA,NA,SILVERDALE STAFFS
2022-05-10,00:40:52,52.48,-0.584,7.1,2.1,9,0.6,3,NA,CORBY NORTHAMPTONSHIRE
2022-05-10,23:16:55,57.144,-5.627,7.4,0.8,5,0.4,NA,NA,LOCH HOURN HIGHLAND
2022-05-11,15:43:49,57.149,-5.651,7.4,0.8,5,0.1,NA,NA,LOCH HOURN HIGHLAND
2022-05-11,21:33:03,55.088,-3.182,4.2,0.9,6,0.4,NA,NA,WATERBECK D & G
2022-05-12,03:57:24,53.119,-0.042,14.1,2.2,16,0.3,NA,NA,MAREHAM-LE-FEN LINCS
2022-05-12,21:04:25,52.336,-4.023,8.1,0.7,7,0.2,NA,NA,LLANILAR CEREDIGION
2022-05-17,23:00:56,53.04,-5.451,6.7,1.1,6,0.4,NA,NA,IRISH SEA
2022-05-18,23:51:34,53.628,-1.107,7.6,1.4,21,0.3,NA,NA,MOSS SOUTH YORKSHIRE
2022-05-20,10:22:17,52.844,-2.639,8.7,1.1,8,0.2,NA,NA,WEM SHROPSHIRE
2022-05-20,17:59:29,55.566,-9.627,12.1,1.4,3,0.1,NA,NA,NORTH ATLANTIC OCEAN
2022-05-21,07:47:43,56.388,-5.474,8.7,1.8,12,0.3,3,NA,OBAN ARGYLL & BUTE
2022-05-21,21:17:21,57.771,-5.633,7.7,0.8,6,0.3,NA,NA,POOLEWE HIGHLAND
2022-05-22,18:34:01,56.082,-6.047,14.3,0.9,5,0.1,NA,NA,COLONSAY ARGYLL & BUTE
2022-05-22,20:11:16,54.085,-3.123,2.6,1.2,14,0.3,NA,NA,RAMPSIDE CUMBRIA
2022-05-22,22:34:14,57.103,-5.625,3.8,0.5,6,0.1,NA,NA,LOCH HOURN HIGHLAND
2022-05-25,01:14:10,52.876,-5.658,5.9,0.4,5,0.3,NA,NA,IRISH SEA
2022-05-25,05:30:00,55.783,-5.991,6.8,0.8,6,0.2,NA,NA,JURA ARGYLL & BUTE
2022-05-25,10:26:08,58.821,1.438,14.7,3,25,0.3,NA,NA,CENTRAL NORTH SEA
2022-05-26,04:50:48,53.69,1.308,10,2.1,12,0.5,NA,NA,SOUTHERN NORTH SEA
2022-05-26,15:28:44,57.773,-5.615,7.6,1.6,7,0.4,2,NA,POOLEWE HIGHLAND
2022-05-27,08:19:24,54.124,-1.8,7.6,2.2,16,0.2,NA,NA,RAMSGILL N YORKSHIRE
2022-05-27,09:40:06,54.124,-1.809,8.3,0.9,10,0.3,NA,NA,RAMSGILL N YORKSHIRE
2022-05-29,20:40:37,53.427,-2.348,6.1,2.3,24,0.4,NA,NA,SALE GTR MANCHESTER
2022-05-29,23:08:00,53.428,-2.326,11.7,0.8,13,0.2,NA,NA,SALE GTR MANCHESTER
