yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality
2022-11-03,08:34:06,54.32,-3.227,7.6,0.3,6,0.2,NA,NA,ULPHA CUMBRIA
2022-11-03,15:29:34,56.407,-4.285,3.7,0.6,5,0.2,NA,NA,LOCHEARNHEAD STIRLING
2022-11-03,23:56:57,57.146,-5.562,3.8,1.4,9,0.2,2,NA,ARNISDALE HIGHLAND
2022-11-04,14:34:27,57.158,-5.608,7.1,0.8,6,0.1,NA,NA,ARNISDALE HIGHLAND
2022-11-05,10:20:02,51.424,-1.469,16.1,1.8,12,0.3,NA,NA,EDDINGTON BERKSHIRE
2022-11-06,21:10:49,51.921,-6.807,5,1.1,3,0.3,NA,NA,CELTIC SEA
2022-11-08,15:51:25,56.978,-5.559,8.2,0.9,6,0.4,NA,NA,LOCH NEVIS HIGHLAND
2022-11-12,02:08:03,52.12,-2.324,12.6,0.4,5,0.1,NA,NA,MALVERN WORCESTERSHIRE
2022-11-13,19:56:46,52.028,-2.823,4.3,0.6,6,0.1,NA,NA,CLEHONGER HEREF
2022-11-14,16:14:41,53.863,-2.316,12.7,1.3,17,0.2,NA,NA,BARLEY LANCASHIRE
2022-11-17,00:57:51,54.377,-3.168,5.7,0.2,5,0.4,NA,NA,SEATHWAITE CUMBRIA
2022-11-18,18:23:30,54.249,-3.859,14.7,0.7,10,0.3,NA,NA,IRISH SEA
2022-11-21,07:21:07,51.871,-2.451,10.7,1,5,0.1,NA,NA,LONGHOPE GLOS
2022-11-26,08:47:27,53.298,-2.094,5.8,1.7,12,0.2,NA,NA,BOLLINGTON CHESHIRE
2022-11-26,10:47:51,57.597,-5.457,2.6,1.2,8,0.2,NA,NA,TORRIDON HIGHLAND
2022-11-27,08:55:22,56.413,-5.68,2.6,1.1,7,0.2,NA,NA,MULL ARGYLL & BUTE
2022-11-29,00:30:09,57.593,-5.456,2.6,0.5,6,0.3,NA,NA,TORRIDON HIGHLAND
2022-12-03,18:27:24,54.219,-4.272,2.6,0.4,8,0.3,NA,NA,IRISH SEA
2022-12-05,01:48:09,51.047,-2.709,10.7,0.9,7,0.2,NA,NA,SOMERTON SOMERSET
2022-12-05,20:30:25,56.008,-5.123,7.6,1,11,0.4,NA,NA,CRAIGENDIVE ARGYLL/BUTE
2022-12-07,00:16:46,51.692,-4.168,12.4,1.1,5,0.1,NA,NA,LLANELLI DYFED
2022-12-08,04:26:52,54.671,-3.131,7.6,0.3,9,0.3,NA,NA,BASSENTHWAITE CUMBRIA
2022-12-11,05:10:52,56.373,-5.492,2.8,0.4,6,0.2,NA,NA,LERAGS ARGYLL & BUTE
2022-12-11,22:27:56,53.972,0.403,4.8,1.5,9,0.2,NA,NA,SOUTHERN NORTH SEA
2022-12-11,22:39:09,56.517,-5.646,2.6,0.7,6,0.3,NA,NA,INNINBEG HIGHLAND
2022-12-16,08:37:39,56.594,-4.115,7.6,0.9,7,0.5,NA,NA,GLENLYON PERTH/KINROSS
2022-12-16,10:26:40,57.649,-5.302,8.2,1,6,0.7,NA,NA,KINLOCHEWE HIGHLAND
2022-12-21,10:26:41,55.994,-5.24,4.6,1.3,8,0.2,NA,NA,GLENDARUEL ARGYLL/BUTE
2022-12-22,13:30:10,56.64,-5.665,7.6,1.4,6,0.3,NA,NA,STRONTIAN HIGHLAND
2022-12-22,16:04:27,55.921,-5.304,8.3,1,8,0.2,NA,NA,MELLDALLOCH ARGYLL/BUTE
2022-12-22,16:56:24,56.634,-5.649,7.8,0.9,6,0.3,NA,NA,STRONTIAN HIGHLAND
2022-12-25,10:50:50,55.242,-3.502,2.6,0.7,9,0.4,NA,NA,ST ANN'S D & G
2022-12-26,01:20:49,54.408,-2.817,2.6,0.9,6,0.2,NA,NA,STAVELEY CUMBRIA
2022-12-27,01:09:12,51.878,-3.051,17.5,2,14,0.3,NA,NA,LLANBEDR POWYS
2022-12-30,03:03:55,56.631,-5.677,8.7,0.9,5,0.2,NA,NA,STRONTIAN HIGHLAND
2023-01-01,03:48:59,57.217,-6.21,2.6,0.9,4,0.2,NA,NA,SKYE HIGHLAND
2023-01-02,21:06:19,54.265,-2.487,7.6,1.3,14,0.4,NA,NA,GAWTHROP CUMBRIA
2023-01-03,06:20:44,56.383,-5.853,2.2,1.7,9,0.3,3,NA,MULL ARGYLL & BUTE
2023-01-07,07:27:34,56.657,-5.657,6,2.3,13,0.3,3,NA,STRONTIAN
